ACCELEROMETER X (m/s2),ACCELEROMETER Y (m/s2),ACCELEROMETER Z (m/s2),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (T),MAGNETIC FIELD Y (T),MAGNETIC FIELD Z (T),LABEL,SUBJECT
-8.8885,-1.658,3.6978,0.0176,-0.0421,0.0574,20.8,-23.8,-4.1,1,1
-9.0058,-1.421,3.4273,0.1477,0.2419,0.047,20.5,-27.8,-5,1,1
-8.9818,-1.64,3.9325,-0.0948,-0.1087,0.0012,20.5,-29.2,-3.2,1,1
-8.916,-1.5897,3.3303,-0.1962,0.1643,-0.0697,20.9,-28,-3.3,1,1
-9.2273,-1.4329,1.1468,0.0811,-0.576,0.0659,27.68,-24.43,3.21,1,1
-13.368,-5.8658,-1.1468,-1.6263,-2.5681,1.1789,30.7,-24.5,6.9,1,1
-5.5976,3.1436,-0.0192,-0.8169,1.6396,0.2895,34.12,-22.67,4.73,1,1
-7.8326,1.9333,2.976,0.6816,2.0122,1.3157,33.06,-27.11,2.86,1,1
-5.9041,-3.4943,0.6704,2.8141,-1.0659,-0.6543,35.41,-30.71,16.77,1,1
-0.3256,-3.9061,1.798,2.6241,0.0568,0.1801,32.44,-16.67,43.57,1,1
-25.4288,-5.023,-4.7262,-0.917,-1.292,1.3035,25.34,24.51,36.93,1,1
-15.8317,-0.7781,-3.0478,-2.4002,-0.9022,2.5796,34.24,21.35,25.54,1,1
-13.4949,-0.2933,-5.964,-1.1028,0.9756,1.2204,22.71,28.59,17.63,1,1
-6.1734,2.4229,5.9221,-1.4674,-0.6933,0.7825,27.87,18.08,24.71,1,1
-3.1831,-0.7925,-3.4249,-0.9225,0.0458,-0.0459,26.43,-6.59,37.67,1,1
-5.5641,-1.8112,-0.2203,-1.5566,0.3366,0.6792,24.42,-30.54,11.45,1,1
-18.2079,-8.5892,0.7913,-2.6824,0.0312,1.8142,27.44,-26.92,-0.47,1,1
-6.2165,1.2246,-2.3068,0.0872,1.2077,0.9052,32.21,-27.62,2.48,1,1
-5.4612,4.7884,-1.6759,0.4226,-1.1221,0.0592,35.31,-29.54,9.6,1,1
-13.1992,-4.1276,0.9649,1.2411,-0.9572,-2.4698,35.66,-31.79,14.47,1,1
-9.2141,-2.9963,1.0044,1.7139,-0.0018,0.1313,37.86,-23.34,34.4,1,1
-9.5229,-2.5043,2.4062,-0.038,-1.281,-0.5175,41.42,-3.38,39.21,1,1
